Word,Meaning
implore,"(to ask someone to do or not do something in a very sincere, emotional, and determined way:)
[She implored her parents not to send her away to school.]
(to ask for something in a sincere and emotional way:)
[She clasped her hands, and glancing upward, seemed to implore divine assistance.]
"
inadvertent,"(not intentional:)
[All authors need to be wary of inadvertent copying of other people's ideas.]
"
incensed,"(extremely angry:)
[The villagers are incensed at the decision to close the railway station.
He was incensed by the suggestion that he'd leaked details of a confidential conversation.]
"
incessant,"(never stopping, especially in an annoying or unpleasant way:)
[incessant rain/noise/complaints]
"
inchoate,"(only recently or partly formed, or not completely developed or clear:)
[She had a child's inchoate awareness of language.]
"
inconsequential,"(not important:)
[an inconsequential matter/remark
Most of what she said was pretty inconsequential.]
"
incumbent,"(officially having the named position:)
[The incumbent president faces problems which began many years before he took office.]
(to be necessary for someone:)
[She felt it incumbent upon/on her to raise the subject at their meeting.]
(the person who has or had a particular official position:)
[the first/last/previous incumbent
The present incumbent (of the post) is due to retire next month.]
"
indelible,"(An indelible mark or substance is impossible to remove by washing or in any other way:)
[indelible ink
The blood had left an indelible mark on her shirt.]
(Indelible memories or actions are impossible to forget, or have a permanent influence or effect:)
[I have an indelible memory of that meeting with Anastasia.
In his 20 years working for the company, Joe Pearson made an indelible impression on it.]
"
indispensable,"(Something or someone that is indispensable is so good or important that you could not manage without it, him, or her:)
[This book is an indispensable resource for researchers.
His long experience at the United Nations makes him indispensable to the talks.]
"
indolent,"(showing no real interest or effort:)
[an indolent wave of the hand
an indolent reply]
"
indubitable,"(that cannot be doubted:)
[an indubitable fact]
"
inept,"(not skilled or effective:)
[an inept comment/remark
He was always rather inept at sport.
He was criticized for his inept handling of the situation.
Dick was socially inept and uncomfortable in the presence of women.]
"
inexorable,"(continuing without any possibility of being stopped:)
[the inexorable progress of science]
"
inexplicable,"(unable to be explained or understood:)
[For some inexplicable reason, he's decided to cancel the project.]
"
inevitable,"(certain to happen and unable to be avoided or prevented:)
[The accident was the inevitable consequence/result/outcome of carelessness.]
(something that is certain to happen and cannot be prevented:)
[Eventually the inevitable happened and he had a heart attack.]
"
infatuation,"(strong but not usually lasting feelings of love or attraction:)
[It's just an infatuation. She'll get over it.
No one expected their infatuation with each other to last.]
"
inimical,"(harmful or limiting:)
[Excessive managerial control is inimical to creative expression.]
"
innate,"(An innate quality or ability is one that you were born with, not one you have learned:)
[Cyril's most impressive quality was his innate goodness.]
"
insatiable,"((especially of a desire or need) too great to be satisfied:)
[Like so many politicians, he had an insatiable appetite/desire/hunger for power.
Nothing, it seemed, would satisfy his insatiable curiosity.]
"
inscrutable,"(not showing emotions or thoughts and therefore very difficult to understand or get to know:)
[an inscrutable face/expression/smile]
"
insouciant,"(relaxed and happy, with no feelings of worry or guilt:)
[He sometimes seems insouciant to the point of carelessness.
It is easy to see where her reputation for insouciant charm has come from.]
"
interminable,"(continuing for too long and therefore boring or annoying:)
[an interminable delay
his interminable stories]
"
intransigent,"(refusing to change your opinions or behaviour:)
[Unions claim that the management continues to maintain an intransigent position.]
"
intrepid,"(extremely brave and showing no fear of dangerous situations:)
[a team of intrepid explorers]
"
intrinsic,"(being an extremely important and basic characteristic of a person or thing:)
[works of little intrinsic value/interest
Maths is an intrinsic part of the school curriculum.]
"
inveterate,"(someone who does something very often and cannot stop doing it:)
[I never trust anything he says - the man's an inveterate liar.]
"
invigorate,"(to make someone feel fresher, healthier, and more energetic:)
[We were invigorated by our walk.]
"
irrevocable,"(impossible to change:)
[an irrevocable decision]
"
jaded,"(not having interest or losing interest because you have experienced something too many times:)
[Flying is exciting the first time you do it, but you soon become jaded.
Perhaps some caviar can tempt your jaded palate.]
"
jarring,"(a jarring sight, sound, or experience is so different or unexpected that it has a strong and unpleasant effect on something or someone:)
[a jarring cry/chord
jarring colours
a jarring experience]
(wrong or unsuitable:)
[a jarring contrast]
(shaking or moving violently:)
[a jarring tackle/collision]
"
jejune,"(very simple or childish:)
[He made jejune generalizations about how all students were lazy and never did any work.]
(boring and not interesting :)
[a jejune lecture by one of our professors]
"
jibe,"(an insulting remark that is intended to make someone look stupid:)
[Unlike many other politicians, he refuses to indulge in cheap jibes at other people's expense.]
(to make insulting remarks that are intended to make someone look stupid:)
[She jibed constantly at the way he ran his business.]
"
jocular,"(funny or intended to make someone laugh:)
[a jocular comment]
(used to describe someone who is happy and likes to make jokes:)
[Michael was in a very jocular mood at the party.]
"
jubilation,"(a feeling of great happiness, especially because of a success:)
[There was jubilation in the crowd as the winning goal was scored.]
"
kitschy,"(connected with art, decorative objects, or design considered by many people to be ugly, without style, or false, but enjoyed by other people, often because they are funny:)
[a kitschy gilt-framed mirror
The room was decorated in a cheerfully kitschy style.]
"
lash out,"(to spend a large amount of money in a way that is unnecessary or that wastes it:)
[He lashed out £5,000 on his daughter's wedding.]
"
laudable,"((of actions and behaviour) deserving praise, even if there is little or no success:)
[a laudable goal/ambition
The recycling programme is laudable, but does it save much money?]
"
lingers,"(to take a long time to leave or disappear:)
[After the play had finished, we lingered for a while in the bar hoping to catch sight of the actors.
The smell from the fire still lingered days later.
It's impossible to forget such horrific events - they linger (on) in the memory forever.]
"
loquacious,"(Someone who is loquacious talks a lot.)
[]
"
lousy,"(very bad:)
[lousy food/service
a lousy book
I had a lousy weekend.
I feel lousy - I'm going home.]
(used to say that you feel insulted by something:)
[All he offered me was a lousy 20 bucks (= a small amount of money)!]
(used to say that something is full of something, or has too much of it:)
[The internet is lousy with this kind of stuff.]
"
lucrative,"((especially of a business, job, or activity) producing a lot of money:)
[The merger proved to be very lucrative for both companies.]
"
ludicrous,"(stupid or unreasonable and deserving to be laughed at:)
[a ludicrous idea/suggestion
He looked ludicrous in that suit!]
"
lushy,
maddening,"(making you angry:)
[She has a maddening habit of interrupting me when I'm talking to her.]
"
magic away,
mediocre,"(not very good:)
[The film's plot is predictable and the acting is mediocre.
Parents don't want their children going to mediocre schools.]
"
mendacious,"(not telling the truth:)
[Some of these statements are misleading and some are downright mendacious.]
"
mercurial,"(changing suddenly and often:)
[a mercurial temperament
She was entertaining but unpredictable, with mercurial mood swings.]
(intelligent, enthusiastic, and quick:)
[a mercurial mind/wit]
(containing or caused by mercury:)
[mercurial drugs]
"
misdemeanor,"(a crime considered to be one of the less serious types of crime)
[]
"
modicum,"(a small amount of something good such as truth or honesty:)
[There's not even a modicum of truth in her statement.
Anyone with a modicum of common sense could have seen that the plan wouldn't work.]
"
morbid,"(too interested in unpleasant subjects, especially death:)
[a morbid fascination with death]
(relating to or caused by disease:)
[She had to have gastric bypass surgery to avoid dying from morbid obesity.
Pathological anatomy (or morbid anatomy) is the study of diseased organs.]
"
mundane,"(very ordinary and therefore not interesting:)
[Mundane matters such as paying bills and shopping for food do not interest her.]
"
munificent,"(very generous with money:)
[A former student has donated a munificent sum of money to the college.]
"
myriad,"(a very large number of something:)
[a myriad of choices
And now myriads of bars and hotels are opening up along the coast.]
(very large in number, or having great variety:)
[They offered no solution for all our myriad problems.
There are myriad ways in which global warming can imperil the environment.]
"
negligent,"(not being careful or giving enough attention to people or things that are your responsibility:)
[The judge said that the teacher had been negligent in allowing the children to swim in dangerous water.]
"
nibble,"(to eat something by taking a lot of small bites:)
[Do you have some peanuts for us to nibble while the party warms up?
A mouse has nibbled through the computer cables.
Jenny's hamster's nibbled a hole in the sofa.]
(to bite something gently and repeatedly:)
[She nibbled his ear.]
(an act of nibbling something:)
[Just take/have a nibble to see if you like the taste.]
(small pieces of food that are eaten between or before meals, often with alcoholic drinks:)
[I bought some crisps, nuts, and other nibbles.]
(an expression of interest in something:)
[Our house was on the market for six months and there wasn't a single nibble.]
"
nimble,"(quick and exact either in movement or thoughts:)
[nimble fingers/feet
His nimble mind calculated the answer before I could key the numbers into my computer.]
"
nonchalant,"(behaving in a calm manner, often in a way that suggests you are not interested or do not care:)
[a nonchalant manner/shrug]
"
obliterate,"(to remove all signs of something, either by destroying it or by covering it so that it cannot be seen:)
[The missile strike was devastating - the target was totally obliterated.
All of a sudden the view was obliterated by the fog.]
(to make an idea or feeling disappear completely:)
[Maybe she gets drunk to obliterate painful memories.]
"
obloquy,"(very strong public criticism or blame:)
[His controversial essays have brought him much obloquy.]
"
obsequious,"(too eager to praise or obey someone:)
[She is embarrassingly obsequious to anyone in authority.]
"
obsolete,"(not in use any more, having been replaced by something newer and better or more fashionable:)
[Gas lamps became obsolete when electric lighting was invented.]
"
obstreperous,"(difficult to deal with and noisy:)
[obstreperous customers]
"
ominous,"(suggesting that something unpleasant is likely to happen:)
[There was an ominous silence when I asked whether my contract was going to be renewed.
The engine had been making an ominous sound all the way from my parents' house.
ominous dark clouds]
"
opulent,"(expensive and luxurious:)
[an opulent lifestyle
an opulent hotel]
"
ostensible,"(appearing or claiming to be one thing when it is really something else:)
[Their ostensible goal was to clean up government corruption, but their real aim was to unseat the government.]
"
outrageous,"(shocking and morally unacceptable:)
[The judge criticized the ""outrageous greed"" of some of the bankers.
[ + that ] It is outrageous that these buildings remain empty while thousands of people have no homes.
These prices are just outrageous (= much too high).]
(used to describe something or someone that is shocking because they are unusual or strange:)
[outrageous clothes/behaviour
an outrageous character]
"
overt,"(done or shown publicly or in an obvious way and not secret:)
[overt criticism
overt racism
He shows no overt signs of his unhappiness.]
"
pal around,"(to spend time with someone that you are very friendly with:)
[He used to pal around with one of the president's sons.]
"
parsimonious,"(not willing to spend money or to give or use a lot of something:)
[She's too parsimonious to heat the house properly.
I think that politicians are often parsimonious with the (= do not tell the complete) truth.]
"
paucity,"(the fact that there is too little of something:)
[There is a paucity of information on the ingredients of many cosmetics.]
"
penitent,"(showing that you are sorry for something you have done because you feel it was wrong:)
[""I'm sorry,"" she said with a penitent smile.
It was hard to be angry with him when he looked so penitent.]
(a person who is performing a formal religious act to show that they are sorry for something they have done wrong)
[]
"
peremptory,"(expecting to be obeyed immediately and without any questions:)
[He started issuing peremptory instructions.
She was highly critical of the insensitive and peremptory way in which the cases had been handled.]
"
perfidious,"(unable to be trusted, or showing no loyalty:)
[She described the new criminal bill as a perfidious attack on democracy.]
"
perfunctory,"(done quickly, without taking care or interest:)
[His smile was perfunctory.]
"
perky,"(happy and full of energy:)
[You look very perky this morning.]
"
pernicious,"(having a very harmful effect or influence:)
[The cuts in government funding have had a pernicious effect on local health services.]
"
perpetual,"(continuing for ever in the same way:)
[They lived in perpetual fear of being discovered.
He has hard, cold eyes and his mouth is set in a perpetual sneer.
a perpetual student]
(often repeated:)
[perpetual vandalism]
"
pertain to,"(to be connected with a particular subject, event, or situation:)
[We are only interested in the parts of the proposals that pertain to local issues.]
"
pompous,"(too serious and full of importance:)
[He's a pompous old prig who's totally incapable of taking a joke.
He can sometimes sound a little pompous when he talks about acting.]
"
precise,"(exact and accurate:)
[The bunker's precise location is a closely guarded secret.
He caught me at the precise moment that I fainted.
There was a good turnout for the meeting - twelve of us to be precise.]
(very careful and accurate, especially about small details:)
[Years of doing meticulous research had made her very precise in her working methods.]
"
promulgate,"(to spread beliefs or ideas among a lot of people)
[]
(to announce something publicly, especially a new law:)
[The new law was finally promulgated in the autumn of last year.]
"
propitious,"(likely to result in success, or showing signs of success:)
[With the economy in recession, it was not a propitious time to start a company.]
"
protracted,"(lasting for a long time or made to last longer than necessary:)
[protracted negotiations
a protracted argument/discussion]
"
perile,
pugnacious,"(wanting to start an argument or fight, or expressing an argument or opinion very forcefully:)
[I found him pugnacious and arrogant.]
"
querulous,"(often complaining, especially in a weak high voice:)
[He became increasingly dissatisfied and querulous in his old age.]
"
quirky,"(unusual in an attractive and interesting way:)
[He was tall and had a quirky, off-beat sense of humour.]
"
quixotic,"(having or showing ideas that are different and unusual but not practical or likely to succeed:)
[This is a vast, exciting and some say quixotic project.]
"
rancorous,"(having or showing a feeling of hate and continuing anger about something in the past:)
[a rancorous dispute
Government leaders appear increasingly rancorous.]
"
ravage,"(to cause great damage to something:)
[The area has been ravaged by drought/floods/war.]
"
ravishing,"(very beautiful:)
[She looked ravishing/She was a ravishing sight in her wedding dress.]
"
recalcitrant,"((of a person) unwilling to obey orders or to do what should be done, or (of an animal) refusing to be controlled)
[]
"
recluse,"(a person who lives alone and avoids going outside or talking to other people:)
[He is a millionaire recluse who refuses to give interviews.]
"
recondite,"(not known about by many people and difficult to understand:)
[We had to work from material that was both complex and recondite.]
"
reluctant,"(not willing to do something and therefore slow to do it:)
[[ + to infinitive ] I was having such a good time I was reluctant to leave.
Many parents feel reluctant to talk openly with their children.
She persuaded her reluctant husband to take a trip to Florida with her.]
"
replete,"(full, especially with food:)
[After two helpings of dessert, Sergio was at last replete.]
(well supplied:)
[This car has an engine replete with the latest technology.]
"
repudiate,"(to refuse to accept something or someone as true, good, or reasonable:)
[He repudiated the allegation/charge/claim that he had tried to deceive them.
I utterly repudiate those remarks.]
"
resplendent,"(having a very bright or beautiful appearance:)
[the queen's resplendent purple robes
I saw Anna at the other end of the room, resplendent in a red cocktail dress.]
"
reticent,"(unwilling to speak about your thoughts or feelings:)
[He is very reticent about his past.
Most of the students were reticent about answering questions.]
"
revitalize,"(to give new life, energy, activity, or success to something:)
[Japanese investment has revitalized this part of Britain.]
"
rubicon,"(to do something that you cannot later change and will strongly influence future events:)
[Most EU states have crossed the Rubicon and adopted the euro.]
"
sagacious,"(having or showing understanding and the ability to make good judgments:)
[a sagacious person/comment/choice]
"
sanguine,"((of someone or someone's character) positive and hoping for good things:)
[They are less sanguine about the prospects for peace.]
(red in colour:)
[The sun lit up her hair, bringing out tremendous sanguine red and amber highlights.]
"
scintillating,"(funny, exciting, and clever:)
[scintillating wit/repartee/conversation
a scintillating personality/speech]
"
scruffy,"(untidy and looking a little dirty :)
[They live in a scruffy part of town.
a small, scruffy-looking man]
"
searing,"(If something, such as a feeling or temperature, is described as searing, it is extreme:)
[A searing pain shot up her arm.
The race took place in the searing heat.]
((especially of a criticism or story) very powerful and emotional or criticizing someone or something very strongly:)
[The article is a searing attack on government mismanagement.
a searing tale of love and hate]
"
shenanigans,"(secret or dishonest activities, usually of a complicated type:)
[Like many local governments in the state, the county has a long history of political shenanigans.
More business shenanigans were exposed in the newspapers today.]
(silly behaviour that is usually not very serious or harmful:)
[He told stories of his childhood pranks and prep school shenanigans.]
"
shrewd,"(having or based on a clear understanding and good judgment of a situation, resulting in an advantage:)
[[ + to infinitive ] He was shrewd enough not to take the job when there was the possibility of getting a better one a few months later.
She is a shrewd politician who wants to avoid offending the electorate unnecessarily.
It was a shrewd move to buy your house just before property prices started to rise.]
"
simmer down,"(to become less angry or excited about something:)
[Come on kids! Simmer down and get on with your work!]
"
sluggish,"(moving or operating more slowly than usual and with less energy or power:)
[A heavy lunch makes me sluggish in the afternoon.
Something is wrong with the car - the engine feels sluggish.
The housing market has been very sluggish these past few years.]
"
soothing,"(making you feel calm:)
[I put on some nice soothing music.
Her words had a soothing effect.]
(making something less painful:)
[a soothing ointment]
"
sordid,"(dirty and unpleasant:)
[There are lots of really sordid apartments in the city's poorer areas.]
(morally wrong and shocking:)
[He told me he'd had an affair but he spared me the sordid details.]
"
squeamish,"(easily upset or shocked by things that you find unpleasant or that you do not approve of:)
[She's really squeamish and can't stand the sight of blood.
Many cooks are squeamish about putting live shellfish into boiling water.]
"
squander,"(to waste money or supplies, or to waste opportunities by not using them to your advantage:)
[They'll quite happily squander a whole year's savings on two weeks in the sun.
Ireland squandered several chances, including a penalty that cost them the game.]
"
surreptitiously,"(secretly, without anyone seeing or knowing:)
[Joe surreptitiously had a look in the answer book.
an audiotape of the surreptitiously recorded conversation]
"
tatty,"(old and in bad condition:)
[tatty old jeans]
"
tentative,"((of a plan or idea) not certain or agreed, or (of a suggestion or action) said or done in a careful but uncertain way because you do not know if you are right:)
[I have tentative plans to take a trip to Seattle in July.]
"
tenuous,"(A tenuous connection, idea, or situation is weak and possibly does not exist:)
[The police have only found a tenuous connection between the two robberies.]
(thin, weak, and easily broken)
[]
"
timid,"(shy and nervous; without much confidence; easily frightened:)
[Kieran is a timid child.
My dog is a little timid - especially around other dogs.]
"
titivate,"(to improve the small details of someone's appearance by arranging their hair, putting on make-up, etc.)
[]
"
treacherous,"(If the ground or sea is treacherous, it is extremely dangerous, especially because of bad weather conditions:)
[Snow and ice have left many roads treacherous, and drivers are warned to use caution.]
(A person who is treacherous deceives someone who trusts them, or has no loyalty:)
[Vargas plays the part of a treacherous aristocrat who betrays his king and country.
I feel a bit treacherous to my own sex if I ever make general criticisms of women.]
"
trespass,"(to go onto someone's land or enter their building without permission:)
[I hope this is a public footpath and we're not trespassing on someone's land.]
(to do something or act in a way that is not morally acceptable)
[]
(the crime of going onto someone's land or entering someone's building without permission:)
[the law of trespass]
(an offence in which you break a moral or religious law:)
[Forgive us our trespasses.]
"
turmoil,"(a state of confusion, uncertainty, or disorder:)
[The whole region is in turmoil.
The country is in a state of political turmoil.
The Stock Exchange is in turmoil following a huge wave of selling.]
"
turpitude,"(evil:)
[acts/crimes of moral turpitude]
"
ubiquitous,"(seeming to be everywhere:)
[Leather is very much in fashion this season, as is the ubiquitous denim.
The Swedes are not alone in finding their language under pressure from the ubiquitous spread of English.
The mobile phone, that most ubiquitous of consumer-electronic appliances, is about to enter a new age.]
"
ulterior,"(a secret purpose or reason for doing something:)
[He claims he just wants to help Lisa but I suspect he has an ulterior motive.]
"
unparagoned,
unhinge,"(to cause mental illness in someone:)
[The threats of the modern world have unhinged us.
Her mind was completely unhinged by shock and grief.]
"
vacillate,"(to be uncertain what to do, or to change often between two opinions:)
[Her mood vacillated between hope and despair.]
"
valiant,"(very brave or bravely determined, especially when things are difficult or the situation gives no cause for hope:)
[The company has made a valiant effort/attempt in the last two years to make itself more efficient.]
"
venal,"(A venal person is willing to behave in a way that is not honest or moral in exchange for money:)
[a venal ruler]
(A venal activity is done in order to get money:)
[a venal regime
They are accused of being involved in venal practices.]
"
verbose,"(using or containing more words than are necessary:)
[a verbose explanation/report/speech/style
He was a notoriously verbose after-dinner speaker.]
"
vigilant,"(always being careful to notice things, especially possible danger:)
[Following the bomb scare at the airport, the staff have been warned to be extra vigilant.]
"
virulent,"(A virulent disease or poison is dangerous and spreads or affects people very quickly:)
[A particularly virulent strain of flu has recently claimed a number of lives in the region.]
(full of hate and violent opposition:)
[She is a virulent critic of US energy policy.]
"
vociferous,"(Vociferous people express their opinions and complaints loudly and repeatedly in speech, and vociferous demands, etc. are made repeatedly and loudly:)
[Local activist groups have become increasingly vociferous as the volume of traffic passing through the village has increased.
A vociferous opponent of gay rights, he is well-known for his right-wing views.]
"
voracious,"(very eager for something, especially a lot of food:)
[He has a voracious appetite (= he eats a lot).
He's a voracious reader of historical novels (= he reads a lot of them eagerly and quickly).]
"
wreathe,"(to cover or surround something:)
[The peak of the mountain is perpetually wreathed in cloud.]
"
